age,bmi,sex,shoulder_width,hip_width,height_ratio,waist_ratio,volume_indicator,waist_prominence,body_fat_percentage,category
46,19.5,1,0.39,0.3335,0.9167,0.3928,0.1268,-0.0072,11.2,Atleta Elite - Masculino
20,18.57,1,0.3982,0.3273,0.9108,0.3814,0.1382,-0.0059,7.0,Atleta Elite - Masculino
61,20.1,1,0.4774,0.3952,0.8681,0.3816,0.1115,-0.0061,10.5,Atleta Elite - Masculino
61,20.47,1,0.3971,0.3207,1.0398,0.416,0.1155,-0.0014,10.1,Atleta Elite - Masculino
26,21.86,1,0.441,0.3969,0.8847,0.3811,0.0939,-0.0022,6.0,Atleta Elite - Masculino
57,19.56,1,0.3831,0.3452,0.94,0.4329,0.1055,0.0006,9.8,Atleta Elite - Masculino
53,19.58,1,0.4189,0.3487,1.0157,0.4219,0.1353,-0.0016,9.5,Atleta Elite - Masculino
62,19.43,1,0.3806,0.3417,0.9914,0.3899,0.1281,-0.0058,11.3,Atleta Elite - Masculino
50,20.92,1,0.465,0.3971,0.8691,0.4224,0.1356,0.0008,10.7,Atleta Elite - Masculino
41,19.48,1,0.4183,0.3834,1.0198,0.4266,0.1155,0.0005,7.9,Atleta Elite - Masculino
31,20.89,1,0.3908,0.3141,0.9773,0.4146,0.1114,-0.003,7.5,Atleta Elite - Masculino
49,19.26,1,0.4003,0.3655,0.9698,0.4287,0.0884,0.0019,12.7,Atleta Elite - Masculino
45,20.78,1,0.4604,0.3786,1.0285,0.4451,0.1285,0.0034,10.3,Atleta Elite - Masculino
45,20.16,1,0.3801,0.3201,0.911,0.4049,0.1344,-0.0001,7.7,Atleta Elite - Masculino
44,18.66,1,0.4743,0.3978,0.9538,0.4092,0.0933,-0.0033,8.1,Atleta Elite - Masculino
29,20.81,1,0.3837,0.335,0.9505,0.3976,0.1098,-0.0064,6.4,Atleta Elite - Masculino
54,18.21,1,0.4248,0.368,0.9685,0.4042,0.1181,-0.0017,9.9,Atleta Elite - Masculino
34,18.32,1,0.4336,0.3516,1.0171,0.431,0.1021,0.0037,8.3,Atleta Elite - Masculino
23,19.28,1,0.4511,0.4047,0.9197,0.4287,0.1315,-0.004,6.1,Atleta Elite - Masculino
58,18.38,1,0.4725,0.4277,0.9016,0.4284,0.1032,-0.0031,8.0,Atleta Elite - Masculino
43,20.64,1,0.4683,0.3852,0.9058,0.4488,0.111,0.0011,10.3,Atleta Elite - Masculino
33,20.8,1,0.3884,0.3183,1.0297,0.4428,0.1332,0.0023,10.0,Atleta Elite - Masculino
52,20.43,1,0.4248,0.3906,0.8852,0.4061,0.1364,-0.0029,7.8,Atleta Elite - Masculino
31,18.07,1,0.4458,0.387,0.8687,0.4028,0.1248,0.0001,7.0,Atleta Elite - Masculino
39,19.47,1,0.4431,0.3968,0.9505,0.3971,0.1384,-0.0006,8.2,Atleta Elite - Masculino
50,20.31,1,0.474,0.4335,1.033,0.3937,0.1233,-0.0067,10.0,Atleta Elite - Masculino
58,19.48,1,0.478,0.3867,0.9111,0.4467,0.0998,0.0071,12.8,Atleta Elite - Masculino
50,18.76,1,0.4496,0.3904,0.8694,0.4022,0.0902,-0.0007,9.6,Atleta Elite - Masculino
39,20.46,1,0.4649,0.3795,0.9918,0.4051,0.0952,-0.0057,7.2,Atleta Elite - Masculino
59,20.21,1,0.4598,0.4037,0.9904,0.4367,0.1286,0.0015,15.3,Atleta Elite - Masculino
29,21.18,1,0.4472,0.3754,0.881,0.4421,0.0817,-0.0043,9.4,Atleta Elite - Masculino
39,21.93,1,0.4322,0.3857,0.8932,0.4214,0.0818,-0.004,8.1,Atleta Elite - Masculino
21,20.49,1,0.3938,0.3213,1.0439,0.4389,0.0917,0.0051,6.9,Atleta Elite - Masculino
36,20.86,1,0.3825,0.3502,1.0172,0.4357,0.0962,-0.0025,8.0,Atleta Elite - Masculino
